Variable,Lag,ACF,PACF
spread,0,1.000,1.000
spread,1,0.655,0.655
spread,2,0.541,0.196
spread,3,0.470,0.103
spread,4,0.416,0.063
spread,5,0.368,0.034
spread,6,0.338,0.041
spread,7,0.310,0.027
spread,8,0.290,0.031
spread,9,0.270,0.021
spread,10,0.252,0.015
spread,11,0.241,0.024
spread,12,0.228,0.016
spread,13,0.215,0.011
spread,14,0.206,0.016
spread,15,0.193,0.005
bid_size_0,0,1.000,1.000
bid_size_0,1,0.701,0.701
bid_size_0,2,0.588,0.190
bid_size_0,3,0.501,0.071
bid_size_0,4,0.455,0.082
bid_size_0,5,0.417,0.053
bid_size_0,6,0.385,0.038
bid_size_0,7,0.329,-0.027
bid_size_0,8,0.293,0.006
bid_size_0,9,0.249,-0.022
bid_size_0,10,0.247,0.056
bid_size_0,11,0.230,0.013
bid_size_0,12,0.231,0.042
bid_size_0,13,0.220,0.018
bid_size_0,14,0.202,-0.002
bid_size_0,15,0.191,0.010
bid_size_1,0,1.000,1.000
bid_size_1,1,0.690,0.690
bid_size_1,2,0.553,0.146
bid_size_1,3,0.496,0.136
bid_size_1,4,0.465,0.104
bid_size_1,5,0.398,-0.008
bid_size_1,6,0.338,-0.007
bid_size_1,7,0.314,0.038
bid_size_1,8,0.303,0.045
bid_size_1,9,0.279,0.016
bid_size_1,10,0.267,0.039
bid_size_1,11,0.266,0.041
bid_size_1,12,0.251,0.005
bid_size_1,13,0.226,-0.010
bid_size_1,14,0.229,0.043
bid_size_1,15,0.229,0.023
bid_size_2,0,1.000,1.000
bid_size_2,1,0.709,0.709
bid_size_2,2,0.582,0.160
bid_size_2,3,0.524,0.132
bid_size_2,4,0.476,0.072
bid_size_2,5,0.425,0.026
bid_size_2,6,0.381,0.018
bid_size_2,7,0.352,0.030
bid_size_2,8,0.326,0.021
bid_size_2,9,0.300,0.013
bid_size_2,10,0.278,0.014
bid_size_2,11,0.255,0.001
bid_size_2,12,0.239,0.014
bid_size_2,13,0.225,0.011
bid_size_2,14,0.216,0.018
bid_size_2,15,0.206,0.012
bid_size_3,0,1.000,1.000
bid_size_3,1,0.688,0.688
bid_size_3,2,0.551,0.147
bid_size_3,3,0.481,0.109
bid_size_3,4,0.422,0.052
bid_size_3,5,0.373,0.034
bid_size_3,6,0.332,0.022
bid_size_3,7,0.301,0.024
bid_size_3,8,0.283,0.037
bid_size_3,9,0.257,0.007
bid_size_3,10,0.235,0.010
bid_size_3,11,0.216,0.009
bid_size_3,12,0.208,0.027
bid_size_3,13,0.209,0.036
bid_size_3,14,0.198,0.009
bid_size_3,15,0.191,0.016
bid_size_4,0,1.000,1.000
bid_size_4,1,0.718,0.718
bid_size_4,2,0.610,0.194
bid_size_4,3,0.536,0.094
bid_size_4,4,0.468,0.031
bid_size_4,5,0.422,0.043
bid_size_4,6,0.393,0.050
bid_size_4,7,0.358,0.016
bid_size_4,8,0.335,0.029
bid_size_4,9,0.314,0.022
bid_size_4,10,0.295,0.019
bid_size_4,11,0.279,0.017
bid_size_4,12,0.267,0.020
bid_size_4,13,0.254,0.013
bid_size_4,14,0.240,0.008
bid_size_4,15,0.226,0.005
ask_size_1,0,1.000,1.000
ask_size_1,1,0.767,0.767
ask_size_1,2,0.653,0.156
ask_size_1,3,0.580,0.093
ask_size_1,4,0.529,0.070
ask_size_1,5,0.486,0.044
ask_size_1,6,0.447,0.028
ask_size_1,7,0.415,0.025
ask_size_1,8,0.383,0.012
ask_size_1,9,0.355,0.012
ask_size_1,10,0.330,0.010
ask_size_1,11,0.313,0.020
ask_size_1,12,0.291,0.000
ask_size_1,13,0.272,0.008
ask_size_1,14,0.254,0.003
ask_size_1,15,0.243,0.016
ask_size_2,0,1.000,1.000
ask_size_2,1,0.768,0.768
ask_size_2,2,0.667,0.188
ask_size_2,3,0.595,0.087
ask_size_2,4,0.543,0.065
ask_size_2,5,0.500,0.043
ask_size_2,6,0.468,0.045
ask_size_2,7,0.439,0.029
ask_size_2,8,0.415,0.031
ask_size_2,9,0.396,0.028
ask_size_2,10,0.377,0.020
ask_size_2,11,0.358,0.014
ask_size_2,12,0.344,0.021
ask_size_2,13,0.330,0.015
ask_size_2,14,0.317,0.012
ask_size_2,15,0.307,0.018
ask_size_3,0,1.000,1.000
ask_size_3,1,0.745,0.745
ask_size_3,2,0.633,0.174
ask_size_3,3,0.556,0.087
ask_size_3,4,0.500,0.060
ask_size_3,5,0.451,0.031
ask_size_3,6,0.415,0.039
ask_size_3,7,0.385,0.028
ask_size_3,8,0.361,0.029
ask_size_3,9,0.342,0.028
ask_size_3,10,0.327,0.029
ask_size_3,11,0.313,0.020
ask_size_3,12,0.301,0.022
ask_size_3,13,0.290,0.018
ask_size_3,14,0.277,0.010
ask_size_3,15,0.266,0.013
ask_size_4,0,1.000,1.000
ask_size_4,1,0.772,0.772
ask_size_4,2,0.667,0.174
ask_size_4,3,0.593,0.086
ask_size_4,4,0.532,0.043
ask_size_4,5,0.484,0.037
ask_size_4,6,0.445,0.029
ask_size_4,7,0.414,0.032
ask_size_4,8,0.389,0.030
ask_size_4,9,0.366,0.019
ask_size_4,10,0.344,0.013
ask_size_4,11,0.325,0.016
ask_size_4,12,0.311,0.020
ask_size_4,13,0.300,0.023
ask_size_4,14,0.289,0.015
ask_size_4,15,0.280,0.017
imbalance_1,0,1.000,1.000
imbalance_1,1,0.715,0.715
imbalance_1,2,0.584,0.148
imbalance_1,3,0.494,0.068
imbalance_1,4,0.429,0.047
imbalance_1,5,0.378,0.032
imbalance_1,6,0.336,0.022
imbalance_1,7,0.300,0.017
imbalance_1,8,0.271,0.017
imbalance_1,9,0.246,0.011
imbalance_1,10,0.226,0.015
imbalance_1,11,0.207,0.008
imbalance_1,12,0.193,0.015
imbalance_1,13,0.178,0.006
imbalance_1,14,0.166,0.008
imbalance_1,15,0.156,0.008
imbalance_3,0,1.000,1.000
imbalance_3,1,0.819,0.819
imbalance_3,2,0.727,0.170
imbalance_3,3,0.658,0.075
imbalance_3,4,0.603,0.050
imbalance_3,5,0.558,0.038
imbalance_3,6,0.518,0.025
imbalance_3,7,0.485,0.026
imbalance_3,8,0.456,0.023
imbalance_3,9,0.430,0.016
imbalance_3,10,0.409,0.022
imbalance_3,11,0.388,0.013
imbalance_3,12,0.371,0.017
imbalance_3,13,0.357,0.019
imbalance_3,14,0.342,0.011
imbalance_3,15,0.329,0.011
imbalance_5,0,1.000,1.000
imbalance_5,1,0.866,0.866
imbalance_5,2,0.802,0.206
imbalance_5,3,0.752,0.094
