,Series,adfuller_p_values,H0_rejected
0,spread,0.0,True
1,bid_size_0,0.0,True
2,bid_size_1,0.0,True
3,bid_size_2,0.0,True
4,bid_size_3,0.0,True
5,bid_size_4,0.0,True
6,ask_size_1,0.0,True
7,ask_size_2,0.0,True
8,ask_size_3,0.0,True
9,ask_size_4,0.0,True
10,imbalance_1,0.0,True
11,imbalance_3,0.0,True
12,imbalance_5,0.0,True
13,buy_10s_volume,0.0,True
14,sell_10s_volume,0.0,True
15,buy_1min_volume,0.0,True
16,sell_1min_volume,0.0,True
17,buy_5min_volume,9.930798770342196e-18,True
18,sell_5min_volume,1.690504758239189e-16,True
19,volatility_10s,0.0,True
20,volatility_1min,0.0,True
21,volatility_5min,0.0,True
22,mid_p_change_10s,0.0,True
23,mid_p_change_1min,0.0,True
24,mid_p_change_5min,0.0,True
25,next_10s_volatility,0.0,True
26,next_1min_volatility,0.0,True
27,next_5min_volatility,0.0,True
