,AIC_AR(1),BIC_AR(1),RMSE_AR(1),AIC_AR(2),BIC_AR(2),RMSE_AR(2),AIC_AR(3),BIC_AR(3),RMSE_AR(3),AIC_AR(4),BIC_AR(4),RMSE_AR(4)
spread,101699.34842351783,101728.43576415662,0.5075368347050264,99195.59594301577,99234.37906386747,0.5075359197897255,98742.38904847996,98790.8679495446,0.5075358008622011,,,
bid_size_0,1144785.3584557776,1144814.4457964164,47.05215834837494,1142120.294399103,1142159.0775199546,47.051863324833924,1141656.5787688426,1141705.0576699073,47.05171880237863,,,
bid_size_1,1236129.153280216,1236158.2406208548,76.08793472695015,1233822.3728535613,1233861.155974413,76.08938831091281,1233437.209973845,1233485.6888749097,76.08998333235667,,,
bid_size_2,1275703.0183142081,1275732.1056548469,85.29382452141776,1273111.0226645444,1273149.8057853961,85.29260712485824,1272688.046460652,1272736.5253617167,85.29236217431773,,,
bid_size_3,1330497.043747615,1330526.1310882538,102.8667926377706,1327221.8697645022,1327260.652885354,102.86587398448988,1326734.2428972728,1326782.7217983375,102.86554186344736,,,
bid_size_4,1384180.9507857894,1384210.0381264281,131.9530250710506,1381412.5697002239,1381451.3528210756,131.95230181011235,1380956.913777887,1381005.3926789516,131.9514018400211,,,
ask_size_1,1261259.503405092,1261288.5907457308,80.86223684446352,1258716.6161964643,1258755.399317316,80.86163889689564,1258301.409509587,1258349.8884106518,80.86163225421167,,,
ask_size_2,1301842.7809160335,1301871.8682566723,97.23791192965754,1298832.091864153,1298870.8749850048,97.22278927237095,1298262.724896738,1298311.2037978028,97.21431891879429,,,
ask_size_3,1361766.5003887468,1361795.5877293856,123.109803253855,1358567.9196128587,1358606.7027337104,123.11937267865085,1358078.0107351947,1358126.4896362594,123.12589999650515,,,
ask_size_4,1400845.3010808462,1400874.388421485,149.25071776124585,1397980.49718795,1398019.2803088017,149.2453012281398,1397417.204939188,1397465.6838402527,149.24214596845619,,,
imbalance_1,128073.54188991788,128102.62923055666,0.6815328941002536,126437.03999145699,126475.82311230869,0.681570272202506,126059.46639625418,126107.94529731882,0.6815896581302406,,,
imbalance_3,-80574.79306103085,-80545.70572039207,0.3573222988239621,-82756.60633408347,-82717.82321323176,0.35731337328174134,-83165.50131183988,-83117.02241077524,0.35730821387136724,,,
imbalance_5,-157114.10998057082,-157085.02263993205,0.27943514815702764,-159688.09272096716,-159649.30960011546,0.27943576893984373,-160163.91577275854,-160115.4368716939,0.27943533947537386,,,
buy_10s_volume,1170009.582527563,1170038.6698682017,76.41786523880558,1169993.0551280377,1170031.8382488894,76.41816768218672,1169978.3719990125,1170026.8509000773,76.41846161165448,,,
sell_10s_volume,1181014.1556014407,1181043.2429420794,84.66230285430912,1180992.540465096,1181031.3235859477,84.66253594443126,1180988.8736921006,1181037.3525931654,84.66265557295354,,,
buy_1min_volume,1345663.6393891193,1345692.726729758,419.6146537550635,1345656.232029932,1345695.0151507838,419.61293686656666,1345653.4252453053,1345701.90414637,419.6141716182813,,,
sell_1min_volume,1369179.6394093772,1369208.726750016,463.7372470120673,1369170.0439356617,1369208.8270565134,463.7321745886375,1369171.9662406137,1369220.4451416784,463.7317637547704,,,
buy_5min_volume,1514947.3075038493,1514976.394844488,1974.0412559577112,1514936.6484594403,1514975.431580292,1974.04768195087,1514938.3204084288,1514986.7993094935,1974.0487229440635,,,
sell_5min_volume,1514505.678052678,1514534.7653933167,2252.4362747111127,1514507.6776548729,1514546.4607757246,2252.4369581228025,1514506.556132749,1514555.0350338137,2252.373972297749,,,
volatility_10s,-1708725.1553668645,-1708696.0680262258,0.0006502223049255155,-1713461.8222377994,-1713423.0391169477,0.0006502086501416287,-1714751.9186705388,-1714703.439769474,0.0006502069383211909,,,
volatility_1min,-1747024.7165419243,-1746995.6292012855,0.0012701193987763708,-1747598.1273219404,-1747559.3442010887,0.0012701189819041689,-1748001.8976380718,-1747953.418737007,0.0012701244202034247,,,
volatility_5min,-1791884.0712340618,-1791854.983893423,0.002689552328870859,-1791985.2568037116,-1791946.47368286,0.0026892716336870005,-1792057.9740933499,-1792009.4951922852,0.0026890835353666604,,,
mid_p_change_10s,165078.9146380895,165108.00197872828,1.816788640051124,163298.66824160426,163337.45136245596,1.8167597294161115,162216.7717227066,162265.25062377122,1.8167348289690397,,,
mid_p_change_1min,177603.4234709209,177632.51081155968,4.710682094335678,177187.6347167647,177226.4178376164,4.712612499515852,177070.7336176216,177119.21251868622,4.713604654287398,,,
mid_p_change_5min,182244.8695916064,182273.95693224517,11.214439990005767,182221.1955743652,182259.9786952169,11.213158436623473,182107.48903750622,182155.96793857086,11.211776789695218,,,
next_10s_volatility,-1692682.4565923412,-1692653.3692517024,0.0006757629332328198,-1697676.7391426603,-1697637.9560218086,0.0006757639345111947,-1698923.4579196787,-1698874.979018614,0.0006757645778446081,,,
next_1min_volatility,-1740835.5631689362,-1740806.4758282974,0.0013824707916113342,-1741495.1733590786,-1741456.3902382269,0.0013818949226031528,-1741819.9693632945,-1741771.4904622298,0.001381510311583808,,,
next_5min_volatility,-1794106.032451937,-1794076.9451112982,0.002690658136780671,-1794306.946627423,-1794268.1635065712,0.002682804974954871,-1794305.4950250017,-1794257.016123937,0.0026831843128144496,,,
