,Feature,Importance
0,spread,0.0016853559170308889
1,imbalance_1,0.007225267895736
2,imbalance_3,0.008017394249073016
3,imbalance_5,0.008040777700265962
4,buy_10s_volume,0.054723054947108656
5,sell_10s_volume,0.04591662920244622
6,buy_1min_volume,0.020579316902015504
7,sell_1min_volume,0.02342798384713833
8,buy_5min_volume,0.018463586995244873
9,sell_5min_volume,0.019279954868187475
10,volatility_10s,0.07182081444305277
11,volatility_1min,0.021116996878497902
12,volatility_5min,0.03134657397638467
13,spread_ma_1min,0.023797140969107723
14,spread_ma_5min,0.023604392770407653
15,bid_size_0_ma_1min,0.02069913031254781
16,bid_size_0_ma_5min,0.023231122041450107
17,imbalance_1_ma_1min,0.022793622745202947
18,imbalance_1_ma_5min,0.021977554694835155
19,buy_10s_volume_ma_1min,0.024795551961793335
20,buy_10s_volume_ma_5min,0.024397268618714708
21,sell_10s_volume_ma_1min,0.033230317980298706
22,sell_10s_volume_ma_5min,0.026373292033085773
23,volatility_10s_ma_1min,0.023691902782887807
24,volatility_10s_ma_5min,0.029856896633908735
25,imbalance_3_ma_5min,0.02706771109575003
26,buy_1min_volume_ma_5min,0.025241976442876953
27,sell_1min_volume_ma_5min,0.025430080668105492
28,volatility_1min_ma_5min,0.029350122006323812
29,imbalance_1_change,0.0025268548444590537
30,imbalance_3_change,0.0033441184743290835
31,imbalance_5_change,0.004296443217089959
32,log_buy_sell_volume_ratio_10s,0.09685258874332961
33,log_buy_sell_volume_ratio_1min,0.0206384728043618
34,log_buy_sell_volume_ratio_5min,0.01886822516020391
35,spread_lag_1,0.0017397969564416588
36,imbalance_1_lag_1,0.007324181923396086
37,imbalance_3_lag_1,0.008523340906707809
38,imbalance_5_lag_1,0.007001215803008064
39,spread_imbalance1,0.00639407757479896
40,z_score_spread_20,0.007692926512376219
41,z_score_spread_120,0.009366659726948709
42,z_score_spread_600,0.010469939435524626
43,bid_total_size,0.010320655934003074
44,ask_total_size,0.011163359970491844
45,bid_ask_ratio,0.009435714512991756
46,atr,0.026859635920058755
