,Feature,Importance
32,log_buy_sell_volume_ratio_10s,0.08995676284427527
10,volatility_10s,0.07508588052519509
5,sell_10s_volume,0.050364490495957766
4,buy_10s_volume,0.04857416283384103
12,volatility_5min,0.026025286754886818
24,volatility_10s_ma_5min,0.025815464597877785
28,volatility_1min_ma_5min,0.02559359782858463
21,sell_10s_volume_ma_1min,0.02557497573485571
23,volatility_10s_ma_1min,0.024876574881364955
46,atr,0.024548927637887182
19,buy_10s_volume_ma_1min,0.024444255994369786
33,log_buy_sell_volume_ratio_1min,0.024252895087980997
22,sell_10s_volume_ma_5min,0.02395555599613036
25,imbalance_3_ma_5min,0.02362185273839024
