,Feature,Importance
32,log_buy_sell_volume_ratio_10s,0.10820589403917776
10,volatility_10s,0.08160344521130682
5,sell_10s_volume,0.056059413907070574
4,buy_10s_volume,0.047288541872784376
21,sell_10s_volume_ma_1min,0.02687331882958996
28,volatility_1min_ma_5min,0.025207802376409304
12,volatility_5min,0.0247274273251603
24,volatility_10s_ma_5min,0.024318527498324336
23,volatility_10s_ma_1min,0.024106239969877586
33,log_buy_sell_volume_ratio_1min,0.024002821578180372
19,buy_10s_volume_ma_1min,0.023871499580600298
46,atr,0.023663861542348553
22,sell_10s_volume_ma_5min,0.02296095407749741
