,feature,VIF
0,spread,4.390328171534006
1,bid_size_0,1.2363565002825907
2,bid_size_1,1.4036338667682682
3,bid_size_2,1.9044431943977338
4,bid_size_3,1.7650078404638008
5,bid_size_4,2.5133780634489344
6,ask_size_1,1.1639135964670648
7,ask_size_2,1.2334263503746616
8,ask_size_3,1.3080012114846593
9,ask_size_4,1.2964539452644293
10,imbalance_1,1.49243366142898
11,imbalance_3,3.331903968952244
12,imbalance_5,2.955343661993827
13,buy_10s_volume,2.433858311151093
14,sell_10s_volume,2.3588653783205418
15,buy_1min_volume,6.212722648957168
16,sell_1min_volume,6.02383246257656
17,buy_5min_volume,13.615928504684668
18,sell_5min_volume,14.077995084924803
19,volatility_10s,3.590526065011395
20,volatility_1min,5.596584244886365
21,volatility_5min,6.326608905786343
